Date,Country,Remarks
12-Sep-20,United States of America,   Given date is the date of joining
13-Sep-20,  America,   Given date is the date of joining
14-Sep-20,US,   Given date is the date of joining
15-Sep-20,US,   Given date is the date of joining
16-Sep-20,US,   Given date is the date of joining
17-Sep-20,US,   Given date is the date of joining
18-Sep-20,US,   Given date is the date of joining
19-Sep-20,US,   Given date is the date of joining
20-Sep-20,USA,   Given date is the date of joining
21-Sep-20,USA,   Given date is the date of joining
22-Sep-20,USA,   Given date is the date of joining
23-Sep-20,USA,   Given date is the date of joining
24-Sep-20,USA,   Given date is the date of joining
25-Sep-20,UK,   Given date is the date of joining
26-Sep-20,UK,   Given date is the date of joining
27-Sep-20,UK,   Given date is the date of joining
28-Sep-20,UK,   Given date is the date of joining
29-Sep-20,France,   Given date is the date of joining
30-Sep-20,France,   Given date is the date of joining    
01-Oct-20,France,   Given date is the date of joining    
02-Oct-20,Germany,   Given date is the date of joining    
03-Oct-20,Germany,   Given date is the date of joining    
04-Oct-20,Germany,   Given date is the date of joining    
05-Oct-20,Germany,   Given date is the date of joining    
06-Oct-20,Germany,   Given date is the date of joining    
07-Oct-20,Italy,   Given date is the date of joining    
08-Oct-20,Italy,   Given date is the date of joining    
09-Oct-20,Italy,   Given date is the date of joining    
10-Oct-20,Italy,   Given date is the date of joining    
11-Oct-20,Italy,   Given date is the date of joining    
12-Oct-20,Italy,   Given date is the date of joining    
OCT-10-2020, Italy,   Given date is the date of joining    
OCT-10-2020,Italy,   Given date is the date of joining    
15-Oct-20,Italy,   Given date is the date of joining    
